strain,date,clade_membership,country,region,url,author,accession
DH/S1/05/154,1/11/2005,DENV1/I,Malaysia,Southeast Asia,,Chem et al,JN697057
Fj231/04,2004-01-01 (2004-01-01 - 2004-09-15),DENV1/I,China,China,,Weng et al,DQ193572
V25333,2014-06-30 (2014-06-04 - 2014-06-30),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033220
V13250,2015-04-30 (2015-04-04 - 2015-04-30),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033235
V34427,2016-08-01 (2016-08-01 - 2016-08-28),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033257
19XN06822,4/7/2019,DENV1/I,China,China,,?,MN923100
D1/China/GDsz/D16025/2016_Bali_,2016-05-25 (2016-01-01 - 2016-12-31),DENV1/I,China,China,,?,MG840565
D16025,5/24/2016,DENV1/I,China,China,,?,MN018323
D1/China/GDsd/D16008/2016_Malasia/Idonesia_,2016-04-05 (2016-01-01 - 2016-12-31),DENV1/I,China,China,,?,MG840563
D16008,4/7/2016,DENV1/I,China,China,,?,MN018314
TM24,2014-01-12 (2014-01-01 - 2014-01-31),DENV1/I,Malaysia,Southeast Asia,,Dhanoa et al (https://www.ncbi.nlm.nih.gov/pubmed/27514512),KU666939
TM385,2014-01-14 (2014-01-01 - 2014-01-31),DENV1/I,Malaysia,Southeast Asia,,?,KX452067
V5696,2016-02-29 (2016-02-04 - 2016-02-29),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033246
V33084,2014-08-01 (2014-08-01 - 2014-08-28),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033225
SG_EHI_D1/38043Y14,2014-08-11 (2014-01-01 - 2014-12-31),DENV1/I,Singapore,Southeast Asia,,Hapuarachchi et al D (https://www.ncbi.nlm.nih.gov/pubmed/27316694),KX224261
SG_EHI_D1/07771Y14,2014-01-01 (2014-01-01 - 2014-09-18),DENV1/I,Singapore,Southeast Asia,,Ng et al (https://www.ncbi.nlm.nih.gov/pubmed/25846296),KJ806959
GZ8H/2019019/2014/I,11/30/2014,DENV1/I,China,China,,?,MN886882
GZ8H/2019064/2014/I,11/30/2014,DENV1/I,China,China,,?,MN886893
V9063,2015-03-01 (2015-03-01 - 2015-03-28),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033232
V9778,2016-03-31 (2016-03-04 - 2016-03-31),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033250
V42327,2016-10-31 (2016-10-04 - 2016-10-31),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033258
2016_Singapore_DENV_1_NPHL,2016-07-07 (2016-01-01 - 2016-12-31),DENV1/I,Singapore,Southeast Asia,,Fong et al,MF314188
D14063,9/24/2014,DENV1/I,China,China,,?,MN018299
D16048,9/1/2016,DENV1/I,China,China,,?,MN018317
D1/China/GDst/D16048/2016,2016-09-02 (2016-01-01 - 2016-12-31),DENV1/I,China,China,,?,MG840566
2016XN17601,7/29/2016,DENV1/I,China,China,,?,MN933661
2016XN21026,9/28/2016,DENV1/I,China,China,,?,MN933663
D1/China/GDgz/D16017/2016,2016-06-04 (2016-01-01 - 2016-12-31),DENV1/I,China,China,,?,MG840564
D16017,6/6/2016,DENV1/I,China,China,,?,MN018305
D16009,2016-02-07 (2016-01-01 - 2016-12-31),DENV1/I,China,China,,?,MN018289
D1/China/GDdg/D16007/2016_Malasia_,2016-02-07 (2016-01-01 - 2016-12-31),DENV1/I,China,China,,?,MG840562
G1,2014-12-01 (2014-12-01 - 2014-12-28),DENV1/I,Malaysia,Southeast Asia,,?,MH048670
DG14,2011-09-30 (2011-09-04 - 2011-09-30),DENV1/I,China,China,,Ma et al,JQ048541
MS11007121,2014-01-01 (2014-01-01 - 2014-08-27),DENV1/I,Malaysia,Southeast Asia,,?,MH048668
GI,2014-12-01 (2014-12-01 - 2014-12-28),DENV1/I,Malaysia,Southeast Asia,,?,MH048669
SG_EHI_D1/41757Y13,2013-12-31 (2013-01-01 - 2013-12-31),DENV1/I,Singapore,Southeast Asia,,Ng et al (https://www.ncbi.nlm.nih.gov/pubmed/25846296),KJ806949
SG_EHI_D1/01963Y14,2014-01-01 (2014-01-01 - 2014-10-21),DENV1/I,Singapore,Southeast Asia,,Ng et al (https://www.ncbi.nlm.nih.gov/pubmed/25846296),KJ806961
V7724,2014-02-28 (2014-02-04 - 2014-02-28),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033214
TM30,2014-01-01 (2014-01-01 - 2014-01-28),DENV1/I,Malaysia,Southeast Asia,,Hardiyanto et al,KX452053
V11777,2015-03-31 (2015-03-05 - 2015-03-31),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033233
V14455,2015-04-01 (2015-04-01 - 2015-04-27),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033236
V31633,2014-07-31 (2014-07-05 - 2014-07-31),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033223
V23136,2014-06-30 (2014-06-03 - 2014-06-30),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033218
SG_EHI_D1/30889Y14,2014-07-01 (2014-07-01 - 2014-07-27),DENV1/I,Singapore,Southeast Asia,,Koo et al B,MG097876
DENV1_HMU_HKU_2,10/25/2019,DENV1/I,China,China,,?,MT447147
GZ8H/2019013/2018/I,11/30/2018,DENV1/I,China,China,,?,MN869913
GZ8H/2019002/2018/I,11/30/2018,DENV1/I,China,China,,?,MN869904
GZ8H/2019008/2018/I,11/30/2018,DENV1/I,China,China,,?,MN869909
GZ8H/2019014/2018/I,11/30/2018,DENV1/I,China,China,,?,MN869914
GZ8H/2019011/2018/I,11/30/2018,DENV1/I,China,China,,?,MN869912
19XN01614,1/20/2019,DENV1/I,China,China,,?,MN923098
19XN16112,6/30/2019,DENV1/I,China,China,,?,MN923104
19XN26758,10/25/2019,DENV1/I,China,China,,?,MN923088
19XN23639,9/20/2019,DENV1/I,China,China,,?,MN923078
GZ8H/2019005/2018/I,11/30/2018,DENV1/I,China,China,,?,MN869906
GZ8H/2019009/2018/I,11/30/2018,DENV1/I,China,China,,?,MN869910
GZ8H/2019006/2018/I,11/30/2018,DENV1/I,China,China,,?,MN869907
2018XN16583,6/21/2018,DENV1/I,China,China,,?,MN933666
GZ8H/2019007/2018/I,11/30/2018,DENV1/I,China,China,,?,MN869908
LSDFV01,6/11/2019,DENV1/I,China,China,,?,MN444623
19XN14812,6/18/2019,DENV1/I,China,China,,?,MN923103
19XN50549,6/16/2019,DENV1/I,China,China,,?,MN923106
GZ8H/2019010/2018/I,11/30/2018,DENV1/I,China,China,,?,MN869911
2018XN19847,8/9/2018,DENV1/I,China,China,,?,MN933667
D17090,8/16/2017,DENV1/I,China,China,,?,MN018306
GZ8H/2019094/2017/I,11/30/2017,DENV1/I,China,China,,?,MN886828
GZ8H/2019091/2017/I,11/30/2017,DENV1/I,China,China,,?,MN886825
GZ8H/2019105/2017/I,11/30/2017,DENV1/I,China,China,,?,MN886837
GZ8H/2019103/2017/I,11/30/2017,DENV1/I,China,China,,?,MN886835
GZ8H/2019092/2017/I,11/30/2017,DENV1/I,China,China,,?,MN886826
GZ8H/2019106/2017/I,11/30/2017,DENV1/I,China,China,,?,MN886838
GZ8H/2019096/2017/I,11/30/2017,DENV1/I,China,China,,?,MN886829
GZ8H/2019099/2017/I,11/30/2017,DENV1/I,China,China,,?,MN886831
GZ8H/2019109/2017/I,11/30/2017,DENV1/I,China,China,,?,MN886840
GZ8H/2019093/2017/I,11/30/2017,DENV1/I,China,China,,?,MN886827
D1/China/GDdg/D17018/2017_Tailand_,2017-01-01 (2017-01-01 - 2017-10-01),DENV1/I,China,China,,?,MG840575
V48555,2016-11-01 (2016-11-01 - 2016-11-27),DENV1/I,Singapore,Southeast Asia,,Koo et al A,MF033260
2017XN23311,8/15/2017,DENV1/I,China,China,,?,MN933664
YN17741,7/4/2017,DENV1/I,China,China,,Wen et al,MF683116
YN176272,7/4/2017,DENV1/I,China,China,,Sun et al,MF681693
YN176282,7/4/2017,DENV1/I,China,China,,Wen et al,MF683117
DV111503,2018-10-01 (2018-10-01 - 2018-10-28),DENV1/I,China,China,,?,MN639769
DV061606,2018-10-31 (2018-10-05 - 2018-10-31),DENV1/I,China,China,,?,MN639767
DV101702,2018-10-31 (2018-10-05 - 2018-10-31),DENV1/I,China,China,,?,MN639768
YNBN1011,11/4/2017,DENV1/I,China,China,,Guan et al,MK166996
YNBN1006,10/29/2017,DENV1/I,China,China,,Guan et al,MK167002
YNBN1027,11/5/2017,DENV1/I,China,China,,Guan et al,MK167017
YNBN1013,11/6/2017,DENV1/I,China,China,,Guan et al,MK167007
YNBN1028,11/12/2017,DENV1/I,China,China,,Guan et al,MK167019
YNBN1018,10/26/2017,DENV1/I,China,China,,Guan et al,MK166993
YNBN1023,10/30/2017,DENV1/I,China,China,,Guan et al,MK167014
YNBN1016,10/25/2017,DENV1/I,China,China,,Guan et al,MK167009
YNBN1024,10/30/2017,DENV1/I,China,China,,Guan et al,MK166999
